Date,Open,High,Low,Close,Volume,ticker
2021-04-15,70.0,71.51,63.0,65.2,11444400,APP
2021-04-16,65.0,65.2,58.65,61.0,4199308,APP
2021-04-19,60.0,61.0,55.705,58.86,4642531,APP
2021-04-20,60.0397,61.9,58.99,60.15,3055476,APP
2021-04-21,60.49,62.21,56.5264,61.81,3607103,APP
2021-04-22,61.95,62.95,60.51,62.1,845085,APP
2021-04-23,62.1,62.9399,58.45,58.5,1230352,APP
2021-04-26,58.77,59.81,57.65,59.8,796280,APP
2021-04-27,60.0,61.11,58.71,58.85,630252,APP
2021-04-28,58.42,60.0424,58.07,58.75,309565,APP
2021-04-29,59.0,59.825,58.82,59.17,292894,APP
2021-04-30,59.41,59.56,57.805,58.01,284043,APP
2021-05-03,58.53,60.41,58.53,60.06,516157,APP
2021-05-04,59.78,60.0,57.82,58.55,879088,APP
2021-05-05,58.77,59.29,57.51,58.18,645052,APP
2021-05-06,57.98,57.98,54.72,56.93,1329370,APP
2021-05-07,57.73,57.95,55.76,57.26,552603,APP
2021-05-10,59.2104,59.2104,54.47,55.5,1348364,APP
2021-05-11,54.43,54.95,50.7501,53.46,1483388,APP
2021-05-12,52.57,53.44,49.66,52.25,1351221,APP
2021-05-13,52.31,54.89,49.41,49.87,1645535,APP
2021-05-14,50.24,57.82,50.01,57.26,1198906,APP
2021-05-17,56.17,62.87,55.825,62.44,1033526,APP
2021-05-18,62.01,65.89,61.9111,64.29,1122068,APP
2021-05-19,62.46,65.27,61.54,64.61,603701,APP
2021-05-20,66.3,68.55,66.3,67.9,964180,APP
2021-05-21,69.0,70.1699,65.88,68.35,880310,APP
2021-05-24,68.42,70.73,66.52,70.31,834008,APP
2021-05-25,70.01,72.5307,67.59,69.95,1028575,APP
2021-05-26,69.34,69.98,67.54,68.62,529370,APP
2021-05-27,68.87,71.9079,67.09,69.68,1112696,APP
2021-05-28,69.85,75.18,69.0,74.31,864594,APP
2021-06-01,74.25,74.72,67.67,68.86,1013860,APP
2021-06-02,68.86,72.03,68.515,70.09,499422,APP
2021-06-03,69.24,72.1,69.06,70.47,352898,APP
2021-06-04,69.99,74.61,69.99,74.36,524472,APP
2021-06-07,74.2,77.465,72.22,77.25,662001,APP
2021-06-08,77.17,80.1494,77.17,79.47,941755,APP
2021-06-09,79.48,81.8,78.43,80.25,863889,APP
2021-06-10,80.18,82.14,79.1665,81.86,1161204,APP
2021-06-11,82.0,82.51,79.79,82.42,1144632,APP
2021-06-14,82.5,84.46,81.18,81.89,869894,APP
2021-06-15,81.51,82.96,80.2958,81.65,588668,APP
2021-06-16,81.03,86.77,81.03,85.81,1455103,APP
2021-06-17,86.032,88.48,85.25,88.22,1375266,APP
2021-06-18,87.44,90.03,87.3,88.21,2514241,APP
2021-06-21,88.0,88.0,83.28,83.91,620704,APP
2021-06-22,84.11,84.6,77.59,80.3,1214726,APP
2021-06-23,80.15,82.87,80.15,81.49,388295,APP
2021-06-24,85.91,87.1599,83.92,84.5,754831,APP
2021-06-25,84.76,85.49,82.75,84.86,537746,APP
2021-06-28,85.31,86.46,81.07,82.12,810551,APP
2021-06-29,81.73,84.9,81.2,83.32,635490,APP
2021-06-30,78.3714,79.0,73.94,75.17,2206213,APP
2021-07-01,74.28,74.9,69.41,70.98,1524250,APP
2021-07-02,70.98,72.585,70.53,72.07,669784,APP
2021-07-06,72.02,72.1503,68.0,68.06,1394846,APP
2021-07-07,68.06,68.705,65.36,66.28,941898,APP
2021-07-08,65.01,66.98,63.95,65.88,624164,APP
2021-07-09,65.76,66.41,65.045,66.18,321626,APP
2021-07-12,66.55,67.52,65.76,67.2,395449,APP
2021-07-13,66.89,69.67,66.23,68.98,779855,APP
2021-07-14,68.91,69.59,64.63,65.16,541924,APP
2021-07-15,65.05,66.375,60.915,63.43,927799,APP
2021-07-16,63.58,63.58,59.43,60.75,695817,APP
2021-07-19,59.98,61.3,58.15,60.51,719536,APP
2021-07-20,60.43,61.15,59.04,60.85,550909,APP
2021-07-21,61.33,61.51,59.15,59.83,666891,APP
2021-07-22,60.0,62.6999,59.45,62.69,872074,APP
2021-07-23,62.72,64.8456,61.75,63.35,479846,APP
2021-07-26,63.5,65.63,62.06,62.57,487136,APP
2021-07-27,62.38,62.9617,60.0,62.65,485640,APP
2021-07-28,62.51,65.3,62.18,65.21,581288,APP
2021-07-29,65.29,66.3892,64.4,65.22,409508,APP
2021-07-30,64.45,65.33,61.01,61.47,405255,APP
2021-08-02,62.02,64.14,60.5,63.23,308409,APP
2021-08-03,63.58,63.71,60.55,62.89,352595,APP
2021-08-04,63.02,64.36,62.75,63.18,354111,APP
2021-08-05,62.86,64.01,61.74,63.25,345508,APP
2021-08-06,62.85,62.88,56.58,58.65,1465133,APP
2021-08-09,59.34,60.0,57.53,57.57,449759,APP
2021-08-10,58.24,58.8,56.21,57.19,581866,APP
2021-08-11,58.16,62.05,57.91,58.5,1396685,APP
2021-08-12,61.16,63.45,55.34,56.96,2481861,APP
2021-08-13,56.45,57.1,55.49,56.46,1057157,APP
2021-08-16,56.37,56.37,54.62,55.88,792558,APP
2021-08-17,57.99,63.45,56.27,62.57,2469739,APP
2021-08-18,63.06,65.48,60.31,63.77,1343605,APP
2021-08-19,64.0,67.12,63.5,67.1,1765557,APP
2021-08-20,66.5,70.33,66.5,69.97,1474938,APP
2021-08-23,70.57,72.0,68.73,71.56,1117714,APP
2021-08-24,72.0,74.56,69.48,74.5,1181660,APP
2021-08-25,74.3,76.62,72.78,76.6,985685,APP
2021-08-26,75.52,77.025,71.7283,73.57,1287278,APP
2021-08-27,72.9936,75.11,72.3,74.2,811013,APP
2021-08-30,74.28,74.6079,71.34,73.3,972935,APP
2021-08-31,73.95,73.95,69.34,70.4,1303960,APP
2021-09-01,69.22,76.0,68.8038,74.3,2589888,APP
2021-09-02,74.39,79.53,74.39,78.45,1898886,APP
2021-09-03,78.32,79.67,77.23,77.98,1116972,APP
2021-09-07,77.57,77.6,73.52,74.04,1117782,APP
2021-09-08,73.3,73.3,67.91,68.0,2050725,APP
